customer_id,name,age,gender,state,signup_date,email,phone_number,subscribe
CUST0023,Drajat,63.0,Male,Bengkulu,2023-11-08,586drajat@example.com,869239705010,Yes
CUST0024,Halima,49.0,Female,Sumatera Selatan,2024-05-28,vfirmansyah@example.com,8428991937,Yes
CUST0025,Gina,25.0,Female,Sulawesi Tenggara,2024-12-29,kayla05@example.com,875066923,Yes
CUST0026,Teddy,23.0,Male,Bengkulu,2024-12-07,hsihotang@example.net,801317419,Yes
CUST0027,Elisa,21.0,Female,Sumatera Barat,2024-06-04,933elisa@example.com,888243008034,Yes
CUST0028,Septi,43.0,Female,Bali,2024-11-14,septi362@example.com,856469458258,No
CUST0029,Kiandra,52.0,Female,Jawa Barat,2024-02-28,hutapeadaryani@example.org,84150799109,Yes
CUST0030,Hamima,61.0,Female,Kalimantan Barat,2024-09-16,ibrahimhartati@example.org,89959402600,Yes
CUST0031,Salimah,60.0,Female,Kalimantan Barat,2025-04-10,rafid56@example.org,8186096425,No
CUST0032,Iriana,40.0,Female,Riau,2025-02-10,cagakkusumo@example.org,826260451,Yes
CUST0033,Raden,47.0,Male,Kalimantan Selatan,2023-11-16,raden_6@example.com,8448856016,Yes
CUST0034,Ani,39.0,Female,Kalimantan Barat,2025-08-08,ani_50@example.com,839710740771,No
CUST0035,Yessi,21.0,Female,Gorontalo,2024-04-25,cawuk46@example.net,81027769908,No
CUST0036,Amelia,28.0,Female,Sulawesi Tenggara,2025-06-13,phutapea@example.net,851504518,Yes
CUST0037,Dewi,60.0,Female,Kepulauan Riau,2024-01-15,578dewi@example.com,803009617084,Yes
CUST0038,Ganep,27.0,Male,unknown,2024-04-02,uwaishimawan@example.org,800743640,Yes
CUST0039,Kawaya,22.0,Male,Sumatera Barat,2025-05-07,kawaya429@example.com,89967696232,Yes
CUST0040,Bahuwarna,56.0,Male,Kalimantan Timur,2024-05-20,wriyanti@example.com,883953990,No
CUST0041,Zulfa,49.0,Female,Kepulauan Riau,2025-04-28,kemba06@example.org,895039630,Yes
CUST0042,Daryani,39.0,Male,Sulawesi Utara,2024-12-15,pudjiastutiprayoga@example.org,88017553925,No
CUST0043,Azalea,21.0,Female,Bengkulu,2024-12-18,azalea436@example.com,8017750425,Yes
CUST0044,Yunita,54.0,Female,Aceh,2024-02-08,siregarbella@example.com,8561409632,No
CUST0045,Harto,60.0,Male,Nusa Tenggara Barat,2023-11-19,harto401@example.com,815095803,No
CUST0046,Mila,21.0,Female,Lampung,2024-01-30,jefri95@example.org,830530604317,Yes
CUST0047,Clara,18.0,Female,Sumatera Utara,2023-10-05,338clara@example.com,8728218646,Yes
CUST0048,Kawaya,22.0,Male,Kalimantan Utara,2024-10-10,rahayugarang@example.org,83240371591,No
CUST0049,Zelaya,50.0,Female,Bali,2024-05-18,zelaya_91@example.com,8868171210,No
CUST0050,Azalea,21.0,Female,Sumatera Barat,2024-04-10,nardipermata@example.com,815333503759,Yes
CUST0051,Laras,55.0,Female,Jawa Timur,2024-07-03,silvia38@example.net,8158732552,No
CUST0052,Baktiono,62.0,Male,Lampung,2025-05-10,12baktiono@example.com,828457211,No
CUST0053,Gading,19.0,Male,Kalimantan Utara,2025-08-31,gading626@example.com,8337068115,No
CUST0054,Shania,65.0,Female,Kepulauan Bangka Belitung,2024-06-27,xhartati@example.net,876368513,Yes
CUST0055,Ajeng,47.0,Female,Papua Barat,2024-02-23,lilisusanti@example.org,824638791959,No
CUST0056,Emong,39.0,Male,Bali,2025-06-28,emong132@example.com,8896929596,Yes
CUST0057,Panca,42.0,Male,Sumatera Utara,2024-05-23,panca67@example.com,855347885,Yes
CUST0058,Yunita,65.0,Female,Sulawesi Barat,2024-01-29,yunita_84@example.com,82173919096,Yes
CUST0059,Eko,42.0,Male,Sulawesi Selatan,2025-07-07,teddy33@example.net,82140921512,Yes
CUST0060,Devi,63.0,Female,Kepulauan Bangka Belitung,2024-05-29,wakiman15@example.org,816841884897,No
CUST0061,Siska,29.0,Female,Sumatera Utara,2025-04-28,siska_1@example.com,861273194,No
CUST0062,Siti,53.0,Female,Banten,2025-02-07,206siti@example.com,809986352,Yes
CUST0063,Muni,23.0,Male,Jawa Timur,2025-04-25,eprabowo@example.org,8136636469,Yes
CUST0064,Diah,36.0,Female,Nusa Tenggara Barat,2024-09-15,592diah@example.com,8743750197,Yes
CUST0065,Perkasa,26.0,Male,Kalimantan Timur,2025-01-03,estionoprasetya@example.org,8243403277,No
CUST0066,Victoria,30.0,Female,Banten,2025-06-07,saragihdacin@example.org,83711225862,Yes
CUST0067,Anita,49.0,Female,DKI Jakarta,2024-10-07,anita787@example.com,88953352346,No
CUST0068,Ade,28.0,Male,Papua,2024-04-01,maryatisuci@example.org,870339210,Yes
CUST0069,Ratna,40.0,Female,Papua Barat,2024-03-13,447ratna@example.com,81610611457,Yes
CUST0070,Tari,20.0,Female,Kalimantan Tengah,2024-10-16,tari_19@example.com,866257998,Yes
CUST0071,Faizah,60.0,Female,unknown,2024-12-09,hwidiastuti@example.com,898502533,Yes
CUST0679,Jayadi,46.0,Male,Kepulauan Bangka Belitung,2025-09-20,998jayadi@example.com,84642406422,No
CUST0072,Bagus,59.0,Male,Papua Barat,2024-08-29,dmahendra@example.com,810909634929,No
CUST0073,Ajeng,58.0,Female,Sumatera Barat,2024-10-31,uandriani@example.com,812382618,Yes
CUST0074,Gawati,28.0,Female,Banten,2025-08-07,gawati485@example.com,83172254204,Yes
CUST0075,Salman,45.0,Male,Papua Barat,2024-11-17,salman705@example.com,896248430344,No
CUST0076,Novi,41.0,Female,unknown,2024-06-21,eka06@example.com,825670214,Yes
CUST0077,Najib,42.0,Male,Maluku Utara,2025-04-29,najib_62@example.com,839771409193,No
CUST0078,Jail,62.0,Male,Kalimantan Timur,2025-02-06,jail373@example.com,868806727,Yes
CUST0079,Salman,56.0,Male,Papua,2024-11-14,nardiprastuti@example.org,889263587182,Yes
CUST0080,Zelaya,61.0,Female,Jawa Barat,2025-04-16,pmulyani@example.com,879430310,No
CUST0081,Kiandra,18.0,Female,Kalimantan Utara,2024-04-23,kiandra323@example.com,892051889,Yes
CUST0082,Pangeran,47.0,Male,Sulawesi Tengah,2024-04-27,uwaistina@example.com,854442638,Yes
CUST0083,Waluyo,22.0,Male,Sumatera Selatan,2024-04-21,423waluyo@example.com,8163175135,Yes
CUST0084,Cemeti,43.0,Male,unknown,2024-06-10,cemani42@example.org,82769374044,Yes
CUST0085,Diana,23.0,Female,unknown,2025-01-23,diana214@example.com,8261158450,Yes
CUST0086,Lintang,21.0,Female,Riau,2025-04-20,gsuryatmi@example.com,87875175545,Yes
CUST0087,Ophelia,29.0,Female,Sumatera Barat,2025-09-01,nyoman41@example.org,87576535147,No
CUST0088,Sabar,60.0,Male,Papua,2023-10-23,jaisfarida@example.com,87828228770,No
CUST0089,Lintang,45.0,Female,Jawa Tengah,2023-09-28,cwijayanti@example.org,88304909643,No
CUST0090,Ade,22.0,Female,Sumatera Selatan,2025-03-07,paimanthamrin@example.com,8645712253,No
CUST0091,Gadang,48.0,Male,unknown,2024-01-02,gadang_44@example.com,83406335553,No
CUST0092,Uli,39.0,Female,Sulawesi Utara,2025-02-21,ilsauwais@example.com,85301687145,Yes
CUST0093,Syahrini,34.0,Female,unknown,2024-07-14,hariputra@example.com,87412241378,Yes
CUST0094,Respati,26.0,Male,Kalimantan Utara,2023-10-06,aryanimartani@example.net,8432024958,No
CUST0095,Kayun,36.0,Male,Kalimantan Timur,2024-08-18,whastuti@example.org,869104458,Yes
CUST0096,Kamila,42.0,Female,Nusa Tenggara Barat,2024-08-09,kamila440@example.com,8886490325,No
CUST0097,Hasna,57.0,Female,Kalimantan Barat,2024-04-13,hasna_36@example.com,8523325335,No
CUST0098,Darmana,20.0,Male,Lampung,2024-07-13,janewibowo@example.net,87578356078,Yes
CUST0099,Nardi,46.0,Male,Papua Barat,2024-05-09,564nardi@example.com,842270801734,Yes
CUST0100,Gangsar,33.0,Male,Maluku Utara,2024-10-18,mahendraviman@example.org,83883350165,Yes
CUST0101,Unjani,44.0,Female,Bengkulu,2024-08-25,pangestu31@example.com,858832347094,No
CUST0102,Darmana,34.0,Male,Sumatera Utara,2024-10-06,keneskurniawan@example.com,8731410728,Yes
CUST0522,Lurhur,34.0,Male,Papua,2024-08-14,andrianidimas@example.org,8739118659,Yes
CUST0103,Eva,33.0,Female,Riau,2024-08-12,106eva@example.com,841163644257,No
CUST0104,Cinta,29.0,Female,Sulawesi Selatan,2025-09-19,labuh06@example.net,80353584528,Yes
CUST0105,Nabila,39.0,Female,Sulawesi Utara,2025-06-05,agus50@example.org,836201825,Yes
CUST0412,Tira,65.0,Female,Riau,2024-12-22,tira_61@example.com,840843370,No
CUST0106,Febi,52.0,Female,Sumatera Utara,2025-08-10,febi307@example.com,85506901946,No
CUST0107,Xanana,35.0,Male,Sulawesi Selatan,2024-04-27,xanana906@example.com,8836361564,Yes
CUST0108,Laila,23.0,Female,Papua Barat,2025-01-15,laila_12@example.com,870295902,Yes
CUST0109,Elisa,20.0,Female,Riau,2025-08-18,emaskuswandari@example.com,826103819,No
CUST0110,Amelia,22.0,Female,Jambi,2025-01-26,vanesamaulana@example.org,877164551,Yes
CUST0111,Zaenab,21.0,Female,Kalimantan Barat,2024-05-22,dongoranelvina@example.com,847282814730,Yes
CUST0112,Hana,26.0,Female,Kepulauan Bangka Belitung,2024-05-27,hana71@example.com,830340547,No
CUST0113,Luis,44.0,Male,Jawa Timur,2025-02-02,luis_78@example.com,807226070,Yes
CUST0114,Bakijan,46.0,Male,Kalimantan Selatan,2025-03-19,bakijan716@example.com,811045815,Yes
CUST0115,Febi,60.0,Female,unknown,2023-12-18,853febi@example.com,834936269296,Yes
CUST0116,Safina,37.0,Female,Kalimantan Barat,2023-12-19,eli60@example.net,836530994,Yes
CUST0117,Heru,46.0,Male,Nusa Tenggara Timur,2025-03-01,heru_59@example.com,8442400531,No
CUST0137,Faizah,58.0,Female,Sulawesi Tenggara,2025-02-15,faizah137@example.com,824030244596,Yes
CUST0118,Wisnu,39.0,Male,Papua,2025-08-30,susantiokto@example.org,888016519033,Yes
CUST0119,Usyi,29.0,Female,Sulawesi Selatan,2024-06-03,winarnoharsaya@example.com,82820682864,No
CUST0120,Indah,46.0,Female,Nusa Tenggara Timur,2025-04-05,pangestumaida@example.org,86760383725,Yes
CUST0121,Rachel,43.0,Female,Sulawesi Utara,2024-08-13,fkuswoyo@example.com,85694551033,Yes
CUST0122,Putri,21.0,Female,Kalimantan Barat,2024-09-10,mustofakamal@example.com,877723734,Yes
CUST0123,Budi,25.0,Male,Kalimantan Timur,2024-07-30,daniswarafujiati@example.org,80867052945,No
CUST0124,Hana,46.0,Female,Kalimantan Selatan,2024-02-25,wibisonokayun@example.org,812329994722,Yes
CUST0125,Dian,51.0,Female,Lampung,2023-11-25,855dian@example.com,83875282295,Yes
CUST0126,Lili,36.0,Female,Sulawesi Tenggara,2024-11-30,71lili@example.com,8056814408,Yes
CUST0127,Pandu,33.0,Male,Jawa Tengah,2025-06-24,edi47@example.net,8077055295,Yes
CUST0128,Restu,42.0,Female,Sulawesi Selatan,2023-12-19,uwaisjail@example.net,84987516839,Yes
CUST0129,Nardi,24.0,Male,Kepulauan Riau,2025-03-23,salahudinupik@example.net,87254525827,Yes
CUST0130,Paulin,21.0,Female,unknown,2024-10-22,osimanjuntak@example.com,87062587103,Yes
CUST0131,Warsa,28.0,Male,Jawa Barat,2024-03-14,warsa_48@example.com,868764954,No
CUST0132,Fitria,37.0,Female,Sumatera Selatan,2024-03-01,endra63@example.org,873119408752,No
CUST0133,Kayla,27.0,Female,Kalimantan Barat,2024-03-28,winarsihkarimah@example.net,85520127461,Yes
CUST0134,Hasna,35.0,Female,Maluku Utara,2024-03-01,pangestumahmud@example.com,89859502185,Yes
CUST0135,Eluh,33.0,Male,Jawa Timur,2025-07-10,faizahgunawan@example.com,8445380044,No
CUST0136,Anggabaya,42.0,Male,Gorontalo,2025-03-21,ekopuspasari@example.net,814729402780,Yes
CUST0138,Wulan,45.0,Female,unknown,2025-07-16,wulan_37@example.com,81397393326,No
CUST0139,Ilyas,47.0,Male,Kepulauan Bangka Belitung,2024-11-05,namagaanastasia@example.net,8489315431,Yes
CUST0140,Bambang,63.0,Male,Sumatera Utara,2025-03-30,rahmi71@example.org,806004381324,No
CUST0141,Hasna,35.0,Female,Jambi,2024-07-12,hasna_96@example.com,808350211395,Yes
CUST0142,Ami,42.0,Female,unknown,2023-12-12,ytamba@example.net,84571050970,Yes
CUST0143,Rini,18.0,Female,Gorontalo,2025-01-29,319rini@example.com,859832791,Yes
CUST0144,Olga,49.0,Male,Aceh,2024-04-04,586olga@example.com,824500893,Yes
CUST0145,Kamila,49.0,Female,Kepulauan Riau,2024-12-09,kamila301@example.com,874823735747,No
CUST0146,Jatmiko,58.0,Male,Papua,2023-12-29,jagahakim@example.net,85532539518,Yes
CUST0147,Puput,44.0,Female,Sulawesi Tengah,2023-11-20,indrayuliarti@example.net,888963677419,Yes
CUST0148,Candrakanta,34.0,Male,Aceh,2025-09-22,ian38@example.org,8454479725,Yes
CUST0149,Puti,45.0,Female,Sulawesi Selatan,2025-01-14,790puti@example.com,844664817759,Yes
CUST0150,Ganep,62.0,Male,Papua Barat,2025-07-01,drajatdamanik@example.net,810709870971,No
CUST0151,Baktiadi,50.0,Male,Lampung,2024-06-02,sakti91@example.org,83052760224,Yes
CUST0152,Sadina,40.0,Female,Kalimantan Utara,2024-07-16,873sadina@example.com,8246809152,Yes
CUST0153,Lembah,61.0,Male,Banten,2025-09-17,gsuartini@example.org,870743819862,Yes
CUST0154,Cahyanto,26.0,Male,Sumatera Selatan,2025-09-04,cahyanto_97@example.com,8681560169,Yes
CUST0155,Cindy,27.0,Female,Jawa Timur,2025-02-11,cindy_34@example.com,845121421,No
CUST0156,Jamalia,27.0,Female,Jawa Tengah,2024-03-19,pudjiastutidariati@example.org,815685193,Yes
CUST0157,Tasnim,29.0,Male,Kalimantan Barat,2023-12-05,jamil78@example.com,806558834,Yes
CUST0158,Sadina,26.0,Female,Lampung,2025-04-19,sadina_36@example.com,878596750158,Yes
CUST0159,Padmi,32.0,Female,Gorontalo,2024-11-21,bakiman29@example.com,867591798,Yes
CUST0160,Lasmanto,38.0,Male,Maluku,2024-02-06,lasmanto_15@example.com,83173161135,No
CUST0161,Narji,23.0,Male,Jambi,2025-08-14,safitriqueen@example.net,804466686537,Yes
CUST0162,Natalia,56.0,Female,Jawa Barat,2024-01-01,budimaulana@example.org,893722470,Yes
CUST0163,Jelita,31.0,Female,Bali,2025-01-28,jelita241@example.com,88972804026,Yes
CUST0164,Rini,61.0,Female,Sulawesi Tengah,2023-12-14,eoktaviani@example.com,815359220,Yes
CUST0165,Pangeran,58.0,Male,Kepulauan Bangka Belitung,2025-09-20,ranggamaulana@example.net,8556607041,Yes
CUST0166,Nadia,61.0,Female,Kalimantan Selatan,2025-01-21,600nadia@example.com,832707742619,No
CUST0167,Kajen,52.0,Male,Kalimantan Selatan,2025-02-09,unggulwijayanti@example.com,813304169,Yes
CUST0168,Laila,38.0,Female,Jawa Barat,2025-05-27,laryani@example.org,83741637430,Yes
CUST0169,Unggul,50.0,Male,Kalimantan Timur,2024-02-04,stamba@example.com,828121504,Yes
CUST0170,Citra,51.0,Female,Sumatera Utara,2025-02-09,citra535@example.com,800197278,Yes
CUST0171,Cahyono,18.0,Male,Kalimantan Tengah,2024-02-20,oktavianiian@example.net,88904104083,No
CUST0172,Martani,39.0,Male,Jawa Barat,2023-11-19,jhutasoit@example.org,834167614748,Yes
CUST0173,Edi,46.0,Male,unknown,2024-04-15,balijan55@example.org,812844433,Yes
CUST0174,Rahayu,43.0,Female,Sulawesi Tenggara,2025-03-16,upangestu@example.com,806899922,Yes
CUST0175,Dartono,52.0,Male,unknown,2025-02-15,harsanto83@example.com,889953743153,Yes
CUST0176,Rika,42.0,Female,Kalimantan Barat,2025-04-01,gunartomanah@example.com,8532955115,Yes
CUST0177,Tiara,45.0,Female,DKI Jakarta,2024-07-22,dongoransabar@example.org,876048071,Yes
CUST0178,Salwa,26.0,Female,Kalimantan Timur,2025-03-04,331salwa@example.com,806277560,Yes
CUST0179,Yahya,22.0,Male,Riau,2024-06-18,warsita32@example.org,8908826171,Yes
CUST0180,Raditya,46.0,Male,Kepulauan Riau,2023-09-30,raditya_30@example.com,813773020,Yes
CUST0181,Balapati,41.0,Male,Sulawesi Tengah,2024-12-28,aoktaviani@example.org,801579901601,No
CUST0182,Adinata,55.0,Male,Jambi,2025-07-17,zuwais@example.com,826889627918,Yes
CUST0183,Dian,36.0,Female,Gorontalo,2024-09-13,dian_86@example.com,870256529127,No
CUST0184,Cemplunk,56.0,Male,Kepulauan Bangka Belitung,2024-01-15,usyifujiati@example.com,874704487,Yes
CUST0185,Silvia,52.0,Female,Nusa Tenggara Barat,2024-07-21,fpradipta@example.com,834680358,Yes
CUST0186,Karsana,46.0,Male,Jawa Barat,2025-02-26,karsana52@example.com,81598028596,Yes
CUST0187,Maimunah,59.0,Female,Papua,2024-07-28,pwidiastuti@example.com,851838173923,No
CUST0188,Irfan,55.0,Male,Maluku,2025-08-28,irfan_43@example.com,84072435632,No
CUST0189,Prabowo,59.0,Male,Kepulauan Riau,2024-02-05,rajasayulia@example.org,8876946141,No
CUST0190,Candrakanta,52.0,Male,Bengkulu,2025-04-01,martakasiregar@example.net,8518769180,Yes
CUST0191,Luluh,27.0,Male,DI Yogyakarta,2025-07-15,gandasetiawan@example.com,86559461299,Yes
CUST0192,Maimunah,19.0,Female,Riau,2024-01-22,maimunah_70@example.com,82098841066,Yes
CUST0193,Kasiyah,45.0,Female,Sulawesi Barat,2025-04-28,537kasiyah@example.com,8096683515,No
CUST0194,Victoria,24.0,Female,Sulawesi Tenggara,2024-11-05,111victoria@example.com,891433074528,Yes
CUST0195,Genta,42.0,Female,Jawa Tengah,2024-03-04,404genta@example.com,8302727589,No
CUST0196,Kenes,59.0,Male,Kepulauan Riau,2025-09-11,kenes456@example.com,845887386,No
CUST0197,Dono,61.0,Male,Sumatera Barat,2024-05-25,sudiatihadi@example.org,8843428145,Yes
CUST0198,Kasiran,36.0,Male,Lampung,2025-08-01,astutidaliman@example.net,844521615678,Yes
CUST0199,Daliono,45.0,Male,unknown,2024-08-18,widiastutiyulia@example.net,89234334959,Yes
CUST0200,Ade,21.0,Male,Bali,2024-09-04,adinata37@example.net,8011442065,No
CUST0201,Genta,64.0,Female,Sumatera Utara,2024-02-07,manah38@example.com,833189960,No
CUST0202,Kayla,51.0,Female,Jawa Timur,2024-01-01,785kayla@example.com,896148976,No
CUST0203,Diah,51.0,Female,Jawa Timur,2024-07-24,426diah@example.com,878555975188,Yes
CUST0204,Estiawan,18.0,Male,Nusa Tenggara Timur,2025-07-26,estiawan903@example.com,842441390,Yes
CUST0205,Gamani,56.0,Male,Jambi,2024-05-22,kuswoyobudi@example.com,839448321,Yes
CUST0206,Ulya,48.0,Female,Jawa Barat,2024-12-11,ulya858@example.com,82253308575,Yes
CUST0207,Vero,63.0,Male,Kalimantan Timur,2025-09-17,caket74@example.com,8920532840,No
CUST0208,Restu,32.0,Female,Sumatera Selatan,2024-11-17,ihsansuartini@example.com,875783321,Yes
CUST0209,Hafshah,58.0,Female,Sumatera Barat,2025-09-23,hafshah522@example.com,8514025745,No
CUST0210,Gamanto,63.0,Male,Jawa Tengah,2023-10-12,gamanto891@example.com,80338818657,Yes
CUST0211,Nadia,23.0,Female,Sumatera Barat,2024-08-07,bnajmudin@example.com,805548983599,Yes
CUST0212,Pia,25.0,Female,Jawa Barat,2025-01-10,situmorangliman@example.com,8764053867,No
CUST0213,Cornelia,38.0,Female,unknown,2025-01-31,setiawanpadmi@example.org,82199034845,Yes
CUST0214,Kasusra,52.0,Male,Jawa Tengah,2024-04-24,siregarmichelle@example.com,829560949,Yes
CUST0215,Tari,39.0,Female,Kalimantan Timur,2024-04-16,kardihalim@example.com,899279768,Yes
CUST0216,Pranawa,34.0,Male,Maluku Utara,2024-07-18,cengkiruyainah@example.net,83421440455,No
CUST0217,Vivi,25.0,Female,Sumatera Utara,2025-03-19,qoriwijayanti@example.com,822939648,Yes
CUST0218,Reksa,18.0,Male,Kalimantan Tengah,2024-10-17,eutami@example.net,8010982253,Yes
CUST0219,Ratna,23.0,Female,Sumatera Selatan,2025-02-14,ratna_61@example.com,8592886328,No
CUST0220,Eman,38.0,Male,Maluku Utara,2024-08-13,musamah@example.net,8351954443,Yes
CUST0221,Mila,28.0,Female,Sumatera Selatan,2025-04-03,puspitamakuta@example.com,89536839897,Yes
CUST0222,Nrima,37.0,Male,Sulawesi Tenggara,2025-09-06,nrima_15@example.com,820303505924,No
CUST0223,Artanto,42.0,Male,Aceh,2023-11-12,gunartomaida@example.org,8579114663,Yes
CUST0224,Cengkal,19.0,Male,Sulawesi Tengah,2024-10-09,safinafirgantoro@example.com,803372425148,Yes
CUST0225,Cahya,37.0,Male,Jawa Tengah,2024-11-16,cahya_1@example.com,848801281,No
CUST0226,Kasiran,47.0,Male,Lampung,2025-01-14,kajenharyanti@example.org,8017283733,Yes
CUST0227,Gamblang,46.0,Male,Kalimantan Timur,2023-12-04,timbuldamanik@example.com,83336257772,Yes
CUST0228,Elisa,60.0,Female,Papua Barat,2024-05-06,963elisa@example.com,8028841172,Yes
CUST0229,Vivi,63.0,Female,Aceh,2024-08-29,vivi_72@example.com,8951128138,No
CUST0230,Vicky,42.0,Female,DI Yogyakarta,2025-07-07,vsuryono@example.org,8449897435,Yes
CUST0231,Margana,47.0,Male,Sumatera Utara,2023-10-31,margana_57@example.com,80091857428,Yes
CUST0232,Jamil,60.0,Male,unknown,2024-12-21,harihutapea@example.net,826116797,Yes
CUST0233,Jamalia,20.0,Female,DI Yogyakarta,2025-07-19,damanikdarijan@example.net,8762462237,Yes
CUST0234,Zamira,56.0,Female,Nusa Tenggara Timur,2024-06-18,zamira_12@example.com,845518329,Yes
CUST0235,Jefri,43.0,Male,Aceh,2024-03-18,jatmikorajasa@example.org,8443780824,Yes
CUST0236,Leo,42.0,Male,Sumatera Selatan,2025-08-19,jagaragasaputra@example.net,816809421,Yes
CUST0237,Jarwa,40.0,Male,DKI Jakarta,2024-12-27,jarwa_96@example.com,85570492473,Yes
CUST0238,Darijan,54.0,Male,Sumatera Barat,2024-05-23,uprakasa@example.org,8425816385,Yes
CUST0239,Galuh,36.0,Male,Sumatera Barat,2024-08-19,mulyaniida@example.com,879467312863,Yes
CUST0240,Carla,46.0,Female,Sulawesi Utara,2024-06-21,danang48@example.net,81857955969,Yes
CUST0241,Candra,35.0,Male,Kalimantan Barat,2024-09-07,candra_63@example.com,869455115,No
CUST0242,Mala,55.0,Female,Sulawesi Tenggara,2023-12-19,mala73@example.com,833847702,No
CUST0243,Calista,51.0,Female,unknown,2025-04-01,calista602@example.com,871806674460,No
CUST0244,Bala,39.0,Male,Sumatera Selatan,2025-02-15,ldongoran@example.com,83028298440,Yes
CUST0245,Cahyanto,22.0,Male,Sulawesi Utara,2025-05-03,cahyanto_84@example.com,81900280197,Yes
CUST0246,Caket,65.0,Male,Sulawesi Tengah,2025-03-09,caket_32@example.com,8224646257,No
CUST0247,Mala,54.0,Female,Sumatera Selatan,2024-04-24,esiregar@example.org,80063702516,Yes
CUST0248,Nadine,20.0,Female,Kepulauan Bangka Belitung,2024-01-17,nadine_31@example.com,81799475516,No
CUST0249,Ridwan,52.0,Male,Lampung,2025-05-16,ellishidayat@example.com,825198650407,Yes
CUST0250,Halim,33.0,Male,Bengkulu,2025-09-13,omarbun@example.com,858732327,No
CUST0251,Prima,42.0,Male,Sulawesi Selatan,2024-09-02,putu16@example.net,869004782947,No
CUST0252,Anastasia,62.0,Female,Gorontalo,2025-01-20,dabukkeeluh@example.net,83372152995,No
CUST0253,Yono,19.0,Male,Kalimantan Selatan,2024-01-12,jailsinaga@example.org,8673305470,Yes
CUST0254,Uchita,42.0,Female,Kalimantan Utara,2024-10-21,kartika75@example.net,868108247332,Yes
CUST0255,Kurnia,51.0,Male,Maluku,2024-12-18,kurnia477@example.com,8116801400,No
CUST0256,Baktiono,35.0,Male,DKI Jakarta,2024-11-17,ksinaga@example.net,830308525498,No
CUST0257,Hendri,32.0,Male,Sulawesi Tenggara,2023-10-05,opan96@example.com,873653335,Yes
CUST0258,Banara,62.0,Male,Maluku,2025-04-29,mangunsongcakrabuana@example.com,8273368835,Yes
CUST0259,Jindra,27.0,Male,Jawa Timur,2024-02-08,jindra_70@example.com,803517580038,Yes
CUST0260,Prima,48.0,Male,DKI Jakarta,2024-01-24,prima_12@example.com,800328569612,Yes
CUST0261,Zahra,59.0,Female,Sumatera Utara,2025-04-07,zahra57@example.com,8886360522,Yes
CUST0262,Luis,44.0,Male,unknown,2024-11-21,tasnimhalimah@example.net,818973258242,Yes
CUST0263,Kemal,30.0,Male,Lampung,2024-10-11,kemal_42@example.com,8805015029,Yes
CUST0264,Sarah,42.0,Female,DKI Jakarta,2025-01-12,sarah_50@example.com,859373944,Yes
CUST0265,Ghaliyati,62.0,Female,Aceh,2023-12-29,ghaliyati459@example.com,852749808460,No
CUST0266,Bahuraksa,23.0,Male,unknown,2024-05-22,kacungkuswoyo@example.net,84553407556,No
